Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Bilheteria,Bilheteria_por_minuto,Ano_Lancamento
562,tt1855325,2014-10-26,2014-10-26,WATCHED. $240.2,Resident Evil 5: Retribuição,Resident Evil: Retribution,https://www.imdb.com/title/tt1855325/,Filme,5.3,95,2012,"Ação, Terror, Ficção científica, Suspense",158142,2012-09-14,Paul W.S. Anderson,240.2,2.528421052631579,2012.0
563,tt0092493,2014-10-26,2014-10-26,DIDN'T WATCH. $239.6,Crocodilo Dundee II,Crocodile Dundee II,https://www.imdb.com/title/tt0092493/,Filme,5.7,111,1988,"Ação, Aventura, Comédia",64224,1988-12-16,John Cornell,239.6,2.1585585585585587,1988.0
564,tt1691917,2015-04-14,2015-04-14,WILL WATCH. $239.3,Aviões,Planes,https://www.imdb.com/title/tt1691917/,Filme,5.7,91,2013,"Animação, Aventura, Comédia, Família, Fantasia, Esportes",52323,2013-08-09,Klay Hall,239.3,2.6296703296703297,2013.0
565,tt3402236,2017-12-06,2017-12-06,"WILL WATCH. $238.8still ongoing, not yet finished",Assassinato no Expresso do Oriente,Murder on the Orient Express,https://www.imdb.com/title/tt3402236/,Filme,6.5,114,2017,"Comédia, Policial, Drama, Mistério, Suspense",319970,2017-11-30,Kenneth Branagh,238.8,2.0947368421052635,2017.0
566,tt3263904,2016-12-16,2017-01-30,WATCHED. $238.5,Sully: O Herói do Rio Hudson,Sully,https://www.imdb.com/title/tt3263904/,Filme,7.4,96,2016,"Biografia, Drama, História",320814,2016-12-15,Clint Eastwood,238.5,2.484375,2016.0
567,tt0118688,2014-10-26,2014-10-26,WATCHED. $238.2,Batman & Robin,Batman & Robin,https://www.imdb.com/title/tt0118688/,Filme,3.8,125,1997,"Ação, Ficção científica",281593,1997-07-04,Joel Schumacher,238.2,1.9056,1997.0
568,tt0389860,2014-10-26,2014-10-26,WATCHED. $237.7,Click,Click,https://www.imdb.com/title/tt0389860/,Filme,6.4,107,2006,"Comédia, Drama, Fantasia, Romance",385283,2006-08-11,Frank Coraci,237.7,2.2214953271028035,2006.0
569,tt1320261,2014-10-26,2014-10-26,WATCHED. $237.4,As Viagens de Gulliver,Gulliver's Travels,https://www.imdb.com/title/tt1320261/,Filme,4.9,85,2010,"Aventura, Comédia, Família, Fantasia",77578,2011-01-14,Rob Letterman,237.4,2.7929411764705883,2011.0
570,tt0187078,2014-10-26,2014-10-26,DIDN'T WATCH. $237.2,60 Segundos,Gone in Sixty Seconds,https://www.imdb.com/title/tt0187078/,Filme,6.5,118,2000,"Ação, Policial, Suspense",309170,2000-08-04,Dominic Sena,237.2,2.010169491525424,2000.0
571,tt0076666,2014-10-26,2014-10-26,DIDN'T WATCH. $237.1,Os Embalos de Sábado à Noite,Saturday Night Fever,https://www.imdb.com/title/tt0076666/,Filme,6.8,118,1977,"Drama, Musical",94244,1978-07-03,John Badham,237.1,2.009322033898305,1978.0
